type,status,priority,estimatedHours,budget,expectedViews,expectedClicks,expectedLeads,expectedConversions,expectedCTR,expectedConversionRate,platforms,channel,complexityScore,riskLevel,delayHours,reopenCount,actualDurationHours
CONTENT_CREATION,TO_DO,LOW,4,170.00,1800,70,6,2,3.89,0.67,Website,Content,2,1,0.00,0,4
EMAIL,DONE,LOW,3,95.00,5200,220,12,3,4.17,0.60,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,48,18000.00,300000,14000,700,170,4.44,0.57,Google,SEM,5,4,0.00,1,48
DESIGN,IN_REVIEW,MEDIUM,20,1200.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,20
ANALYTICS,IN_PROGRESS,MEDIUM,16,760.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,16
SEO,TO_DO,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,6
SOCIAL_MEDIA,IN_PROGRESS,HIGH,40,9000.00,160000,7000,380,95,4.38,0.59,"Instagram;TikTok",Social,4,3,0.00,0,40
CONTENT_CREATION,IN_REVIEW,MEDIUM,22,1350.00,19000,750,42,11,3.95,0.58,Website,Content,3,2,0.00,0,22
EMAIL,IN_PROGRESS,MEDIUM,14,820.00,20000,900,50,13,4.50,0.65,Email,Email,3,2,0.00,0,14
PPC,TO_DO,MEDIUM,26,4800.00,85000,3600,180,45,4.24,0.53,Display,Programmatic,4,2,0.00,0,26
ANALYTICS,IN_REVIEW,HIGH,32,1800.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,32
DESIGN,TO_DO,LOW,7,210.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,4,160.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,18,1250.00,30000,1100,55,14,3.67,0.46,"LinkedIn;Twitter",Social,3,2,0.00,0,18
CONTENT_CREATION,IN_PROGRESS,HIGH,36,2800.00,48000,1900,110,28,3.96,0.58,YouTube,Video,4,3,0.00,0,36
EMAIL,TO_DO,LOW,3,110.00,3200,130,7,2,4.17,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,CRITICAL,78,46000.00,700000,35000,1800,450,5.00,0.64,Google,SEM,5,4,0.00,2,78
ANALYTICS,TO_DO,CRITICAL,92,5600.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,92
DESIGN,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
COPYWRITING,TO_DO,LOW,5,160.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,HIGH,34,2000.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,34
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,24,2100.00,42000,1600,90,24,3.81,0.57,"Facebook;Instagram",Social,3,2,0.00,0,24
CONTENT_CREATION,IN_REVIEW,HIGH,42,3200.00,56000,2300,140,36,4.11,0.63,YouTube,Video,4,3,0.00,0,42
EMAIL,IN_PROGRESS,MEDIUM,12,700.00,17000,780,42,11,4.59,0.65,Email,Email,3,2,0.00,0,12
PPC,TO_DO,MEDIUM,30,7200.00,120000,5200,260,70,4.33,0.55,Display,Programmatic,4,3,0.00,0,30
ANALYTICS,IN_PROGRESS,HIGH,28,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,28
DESIGN,TO_DO,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,3,120.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,3
SOCIAL_MEDIA,IN_PROGRESS,HIGH,46,9800.00,170000,7600,380,95,4.47,0.56,"Instagram;TikTok",Social,4,3,0.00,0,46
CONTENT_CREATION,TO_DO,MEDIUM,20,1100.00,14000,520,30,9,3.71,0.64,Website,Content,3,2,0.00,0,20
EMAIL,IN_REVIEW,LOW,4,140.00,6000,260,14,4,4.33,0.67,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,36,12500.00,210000,9000,450,110,4.29,0.54,Google,SEM,5,3,0.00,1,36
ANALYTICS,IN_REVIEW,CRITICAL,60,3000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,60
DESIGN,IN_PROGRESS,MEDIUM,14,820.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,14
COPYWRITING,IN_PROGRESS,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,18
CAMPAIGN,IN_PROGRESS,HIGH,120,26000.00,420000,18000,900,230,4.29,0.55,"Facebook;Google",Multi,4,3,0.00,0,120
CONTENT_CREATION,TO_DO,LOW,8,300.00,4500,180,12,3,3.75,0.67,Website,Content,2,1,0.00,0,8
EMAIL,DONE,LOW,3,85.00,4800,200,11,3,4.12,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,54,26000.00,420000,18000,900,230,4.38,0.55,Google,SEM,5,4,0.00,1,54
DESIGN,IN_REVIEW,MEDIUM,22,1400.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,22
ANALYTICS,IN_PROGRESS,MEDIUM,18,900.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,18
SEO,TO_DO,LOW,5,200.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,5
SOCIAL_MEDIA,IN_PROGRESS,HIGH,44,12000.00,220000,9500,480,120,4.32,0.55,"Facebook;Instagram",Social,4,3,0.00,0,44
CONTENT_CREATION,IN_REVIEW,MEDIUM,24,1500.00,22000,900,50,13,4.09,0.59,Website,Content,3,2,0.00,0,24
EMAIL,IN_PROGRESS,MEDIUM,16,980.00,23000,1100,60,15,4.78,0.65,Email,Email,3,2,0.00,0,16
PPC,TO_DO,MEDIUM,28,6800.00,110000,4800,240,60,4.36,0.55,Display,Programmatic,4,3,0.00,0,28
ANALYTICS,IN_REVIEW,HIGH,34,2000.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,34
DESIGN,TO_DO,LOW,6,180.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,50,14000.00,260000,11000,560,140,4.23,0.54,"Instagram;TikTok",Social,4,3,0.00,0,50
CONTENT_CREATION,TO_DO,MEDIUM,19,980.00,13000,480,28,8,3.69,0.61,Website,Content,3,2,0.00,0,19
EMAIL,IN_REVIEW,LOW,4,150.00,7000,300,18,4,4.29,0.57,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,46,17000.00,280000,12000,600,150,4.29,0.54,Google,SEM,5,4,0.00,1,46
ANALYTICS,TO_DO,CRITICAL,76,4800.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,76
DESIGN,IN_REVIEW,MEDIUM,20,1100.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,20
COPYWRITING,IN_PROGRESS,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,22,1200.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,22
CAMPAIGN,IN_PROGRESS,HIGH,130,30000.00,500000,22000,1200,320,4.62,0.61,"Facebook;Google",Multi,4,3,0.00,0,130
CONTENT_CREATION,TO_DO,LOW,7,260.00,3500,140,10,3,3.71,0.67,Website,Content,2,1,0.00,0,7
EMAIL,DONE,LOW,3,90.00,4800,200,11,3,4.12,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,60,32000.00,520000,26000,1300,340,4.56,0.65,Google,SEM,5,4,0.00,2,60
CAMPAIGN,IN_PROGRESS,HIGH,85,14000.00,210000,9000,420,105,4.29,0.50,"Facebook;Instagram",Multi,4,3,0.00,0,85
CONTENT_CREATION,TO_DO,MEDIUM,7,420.00,6000,220,14,4,3.67,0.67,Website,Content,3,2,0.00,0,7
SEO,IN_PROGRESS,MEDIUM,18,950.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,18
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,11,760.00,20000,800,38,9,4.00,0.40,"Instagram;TikTok",Social,3,2,0.00,0,11
EMAIL,TO_DO,LOW,2,60.00,1800,70,5,1,3.89,0.28,Email,Email,1,1,0.00,0,2
PPC,IN_PROGRESS,HIGH,46,17000.00,260000,11000,560,140,4.23,0.54,Google,SEM,5,3,0.00,1,46
ANALYTICS,IN_REVIEW,CRITICAL,54,3600.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,54
DESIGN,TO_DO,MEDIUM,9,640.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,9
COPYWRITING,IN_PROGRESS,LOW,5,180.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
PPC,IN_REVIEW,MEDIUM,20,3200.00,42000,1700,85,20,4.05,0.51,Display,Programmatic,4,2,0.00,0,20
SOCIAL_MEDIA,DONE,HIGH,32,4800.00,90000,3600,180,45,4.00,0.50,"Facebook;LinkedIn",Social,4,2,0.00,0,32
CONTENT_CREATION,IN_PROGRESS,HIGH,28,2200.00,34000,1300,70,18,3.82,0.53,YouTube,Video,4,3,0.00,0,28
EMAIL,IN_REVIEW,MEDIUM,9,520.00,14000,600,35,9,4.29,0.64,Email,Email,3,2,0.00,0,9
DESIGN,TO_DO,LOW,6,150.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,6
ANALYTICS,TO_DO,HIGH,26,1400.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,26
SEO,IN_PROGRESS,MEDIUM,14,720.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,14
CAMPAIGN,TO_DO,CRITICAL,200,26000.00,380000,17000,900,230,4.47,0.61,"Facebook;Google",Multi,5,4,0.00,0,200
CONTENT_CREATION,TO_DO,LOW,3,120.00,1500,60,4,1,4.00,0.27,Website,Content,2,1,0.00,0,3
EMAIL,DONE,LOW,4,100.00,5200,220,12,3,4.17,0.60,Email,Email,1,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,50,20000.00,320000,14000,700,170,4.44,0.57,Google,SEM,5,4,0.00,1,50
DESIGN,IN_REVIEW,MEDIUM,18,1100.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
ANALYTICS,IN_PROGRESS,MEDIUM,16,780.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,16
SEO,TO_DO,LOW,5,200.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,5
SOCIAL_MEDIA,IN_PROGRESS,HIGH,38,8800.00,150000,6500,340,85,4.33,0.57,"Instagram;TikTok",Social,4,3,0.00,0,38
CONTENT_CREATION,IN_REVIEW,MEDIUM,22,1300.00,18000,700,40,11,3.89,0.61,Website,Content,3,2,0.00,0,22
EMAIL,IN_PROGRESS,MEDIUM,12,760.00,17000,800,45,11,4.47,0.63,Email,Email,3,2,0.00,0,12
PPC,TO_DO,MEDIUM,24,4200.00,70000,3000,160,40,4.29,0.57,Display,Programmatic,4,2,0.00,0,24
ANALYTICS,IN_REVIEW,HIGH,30,1600.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,30
DESIGN,TO_DO,LOW,7,200.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,15,1100.00,26000,1000,50,12,3.83,0.50,"Instagram;Pinterest",Social,3,2,0.00,0,15
CONTENT_CREATION,IN_PROGRESS,HIGH,34,2600.00,42000,1600,95,26,3.81,0.62,YouTube,Video,4,3,0.00,0,34
EMAIL,TO_DO,LOW,3,90.00,2500,100,6,1,4.00,0.60,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,CRITICAL,70,48000.00,750000,37000,1900,480,5.00,0.64,Google,SEM,5,4,0.00,2,70
ANALYTICS,TO_DO,CRITICAL,84,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,84
DESIGN,IN_REVIEW,MEDIUM,20,1250.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,20
COPYWRITING,TO_DO,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_PROGRESS,HIGH,32,1800.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,32
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,26,2100.00,42000,1600,90,24,3.81,0.57,"Facebook;LinkedIn",Social,3,2,0.00,0,26
CONTENT_CREATION,TO_DO,MEDIUM,16,900.00,10000,380,25,7,3.80,0.70,Website,Content,3,2,0.00,0,16
EMAIL,IN_REVIEW,LOW,4,140.00,6000,260,14,4,4.33,0.67,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,40,13000.00,210000,9000,450,110,4.29,0.54,Google,SEM,5,3,0.00,1,40
ANALYTICS,IN_REVIEW,CRITICAL,56,3200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,56
DESIGN,IN_PROGRESS,MEDIUM,14,820.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,14
COPYWRITING,IN_PROGRESS,LOW,5,170.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,18
CAMPAIGN,IN_PROGRESS,HIGH,110,28000.00,460000,20000,1000,260,4.35,0.56,"Facebook;Google",Multi,4,3,0.00,0,110
CONTENT_CREATION,TO_DO,LOW,8,260.00,3500,140,10,3,3.71,0.67,Website,Content,2,1,0.00,0,8
EMAIL,DONE,LOW,3,95.00,4800,200,11,3,4.12,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,58,30000.00,480000,22000,1100,280,4.40,0.58,Google,SEM,5,4,0.00,2,58
DESIGN,IN_REVIEW,MEDIUM,22,1400.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,22
ANALYTICS,IN_PROGRESS,MEDIUM,18,900.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,18
SEO,TO_DO,LOW,5,200.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,5
SOCIAL_MEDIA,IN_PROGRESS,HIGH,44,12000.00,220000,9500,480,120,4.32,0.55,"Facebook;Instagram",Social,4,3,0.00,0,44
CONTENT_CREATION,IN_REVIEW,MEDIUM,24,1500.00,22000,900,50,13,4.09,0.59,Website,Content,3,2,0.00,0,24
EMAIL,IN_PROGRESS,MEDIUM,16,980.00,23000,1100,60,15,4.78,0.65,Email,Email,3,2,0.00,0,16
PPC,TO_DO,MEDIUM,28,6800.00,110000,4800,240,60,4.36,0.55,Display,Programmatic,4,3,0.00,0,28
ANALYTICS,IN_REVIEW,HIGH,34,2000.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,34
DESIGN,TO_DO,LOW,6,180.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,52,15000.00,280000,12000,600,150,4.29,0.54,"Instagram;TikTok",Social,4,3,0.00,0,52
CONTENT_CREATION,TO_DO,MEDIUM,20,1100.00,14000,520,30,9,3.71,0.64,Website,Content,3,2,0.00,0,20
EMAIL,IN_REVIEW,LOW,4,140.00,6000,260,14,4,4.33,0.67,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,42,16000.00,260000,11000,560,140,4.23,0.54,Google,SEM,5,3,0.00,1,42
ANALYTICS,TO_DO,CRITICAL,72,4200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,72
DESIGN,IN_REVIEW,MEDIUM,16,920.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,HIGH,30,1700.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,30
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,26,2000.00,42000,1600,90,24,3.81,0.57,"Facebook;LinkedIn",Social,3,2,0.00,0,26
CONTENT_CREATION,IN_REVIEW,HIGH,38,3000.00,52000,2100,130,34,4.04,0.62,YouTube,Video,4,3,0.00,0,38
EMAIL,IN_PROGRESS,MEDIUM,12,720.00,18000,800,45,11,4.44,0.61,Email,Email,3,2,0.00,0,12
PPC,TO_DO,MEDIUM,26,5600.00,90000,3800,200,50,4.22,0.56,Display,Programmatic,4,3,0.00,0,26
ANALYTICS,IN_PROGRESS,HIGH,30,1600.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,30
DESIGN,TO_DO,LOW,7,230.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,48,14000.00,260000,11000,560,140,4.23,0.54,"Instagram;TikTok",Social,4,3,0.00,0,48
CONTENT_CREATION,TO_DO,MEDIUM,18,980.00,13000,480,28,8,3.69,0.61,Website,Content,3,2,0.00,0,18
EMAIL,IN_REVIEW,LOW,4,150.00,7000,300,18,4,4.29,0.57,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,46,17000.00,280000,12000,600,150,4.29,0.54,Google,SEM,5,4,0.00,1,46
ANALYTICS,TO_DO,CRITICAL,80,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,80
DESIGN,IN_REVIEW,MEDIUM,18,1000.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
COPYWRITING,IN_PROGRESS,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,22,1200.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,22
CAMPAIGN,IN_PROGRESS,HIGH,140,32000.00,560000,26000,1300,340,4.38,0.58,"Facebook;Google",Multi,4,3,0.00,0,140
CONTENT_CREATION,TO_DO,LOW,7,240.00,3200,120,9,2,3.71,0.67,Website,Content,2,1,0.00,0,7
EMAIL,DONE,LOW,3,85.00,4800,200,11,3,4.12,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,62,34000.00,560000,26000,1300,340,4.52,0.59,Google,SEM,5,4,0.00,2,62
CAMPAIGN,IN_PROGRESS,HIGH,78,14500.00,210000,9200,460,115,4.38,0.55,"Facebook;Instagram",Multi,4,3,0.00,0,78
CONTENT_CREATION,TO_DO,MEDIUM,10,520.00,7000,280,18,5,4.00,0.64,Website,Content,3,2,0.00,0,10
SEO,IN_REVIEW,MEDIUM,21,1100.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,21
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,13,980.00,26000,950,48,12,3.65,0.46,"Instagram;TikTok",Social,3,2,0.00,0,13
EMAIL,TO_DO,LOW,2,55.00,1600,65,5,1,4.06,0.31,Email,Email,1,1,0.00,0,2
PPC,IN_PROGRESS,HIGH,34,12500.00,200000,9000,450,110,4.50,0.55,Google,SEM,5,3,0.00,1,34
ANALYTICS,IN_REVIEW,CRITICAL,46,2800.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,46
DESIGN,TO_DO,MEDIUM,12,760.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,12
COPYWRITING,IN_PROGRESS,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
PPC,IN_REVIEW,MEDIUM,18,3400.00,45000,1800,90,22,4.00,0.50,Display,Programmatic,4,2,0.00,0,18
SOCIAL_MEDIA,DONE,HIGH,28,5200.00,90000,3600,180,45,4.00,0.50,"Facebook;LinkedIn",Social,4,2,0.00,0,28
CONTENT_CREATION,IN_PROGRESS,HIGH,36,2600.00,42000,1600,95,26,3.81,0.62,YouTube,Video,4,3,0.00,0,36
EMAIL,IN_REVIEW,MEDIUM,9,540.00,15000,650,36,9,4.33,0.60,Email,Email,3,2,0.00,0,9
DESIGN,TO_DO,LOW,5,140.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,5
ANALYTICS,TO_DO,HIGH,26,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,26
SEO,IN_PROGRESS,MEDIUM,16,820.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,16
CAMPAIGN,TO_DO,CRITICAL,220,30000.00,480000,21000,1100,280,4.38,0.60,"Facebook;Google",Multi,5,4,0.00,0,220
CONTENT_CREATION,TO_DO,LOW,4,180.00,2000,80,6,2,3.89,0.67,Website,Content,2,1,0.00,0,4
EMAIL,DONE,LOW,3,95.00,5200,220,12,3,4.17,0.60,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,48,18000.00,300000,14000,700,170,4.44,0.57,Google,SEM,5,4,0.00,1,48
DESIGN,IN_REVIEW,MEDIUM,20,1200.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,20
ANALYTICS,IN_PROGRESS,MEDIUM,14,760.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,14
SEO,TO_DO,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,6
SOCIAL_MEDIA,IN_PROGRESS,HIGH,40,9000.00,160000,7000,380,95,4.38,0.59,"Instagram;TikTok",Social,4,3,0.00,0,40
CONTENT_CREATION,IN_REVIEW,MEDIUM,22,1350.00,19000,750,42,11,3.95,0.58,Website,Content,3,2,0.00,0,22
EMAIL,IN_PROGRESS,MEDIUM,14,820.00,20000,900,50,13,4.50,0.65,Email,Email,3,2,0.00,0,14
PPC,TO_DO,MEDIUM,26,4800.00,85000,3600,180,45,4.24,0.53,Display,Programmatic,4,2,0.00,0,26
ANALYTICS,IN_REVIEW,HIGH,32,1800.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,32
DESIGN,TO_DO,LOW,7,210.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,3,120.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,3
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,16,1100.00,26000,900,45,11,3.46,0.42,"Instagram;Pinterest",Social,3,2,0.00,0,16
CONTENT_CREATION,IN_PROGRESS,HIGH,34,2400.00,38000,1500,85,22,3.95,0.58,YouTube,Video,4,3,0.00,0,34
EMAIL,TO_DO,LOW,2,55.00,1200,50,3,1,4.17,0.25,Email,Email,1,1,0.00,0,2
PPC,IN_PROGRESS,HIGH,40,12500.00,200000,9000,450,110,4.50,0.55,Google,SEM,5,3,0.00,1,40
ANALYTICS,IN_REVIEW,CRITICAL,50,2800.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,50
DESIGN,IN_PROGRESS,MEDIUM,12,760.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,12
COPYWRITING,IN_REVIEW,LOW,8,260.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,8
SEO,TO_DO,MEDIUM,10,520.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,10
SOCIAL_MEDIA,IN_PROGRESS,HIGH,36,6200.00,100000,4200,220,55,4.20,0.55,"Facebook;LinkedIn",Social,4,3,0.00,0,36
CONTENT_CREATION,IN_REVIEW,MEDIUM,22,1300.00,18000,700,40,11,3.89,0.61,Website,Content,3,2,0.00,0,22
EMAIL,IN_PROGRESS,MEDIUM,13,780.00,19000,850,48,12,4.47,0.63,Email,Email,3,2,0.00,0,13
PPC,TO_DO,MEDIUM,24,3600.00,60000,2600,130,32,4.33,0.55,Display,Programmatic,4,2,0.00,0,24
ANALYTICS,IN_PROGRESS,HIGH,30,1700.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,30
DESIGN,TO_DO,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,170.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,34,5600.00,95000,3800,210,52,4.00,0.55,"Facebook;Instagram",Social,4,3,0.00,0,34
CONTENT_CREATION,TO_DO,MEDIUM,17,880.00,11000,420,26,7,3.82,0.64,Website,Content,3,2,0.00,0,17
EMAIL,IN_REVIEW,LOW,4,160.00,6500,280,16,4,4.38,0.62,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,50,21000.00,340000,15000,800,200,4.76,0.59,Google,SEM,5,4,0.00,1,50
ANALYTICS,TO_DO,CRITICAL,88,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,88
DESIGN,IN_REVIEW,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,5,170.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,HIGH,30,1800.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,30
CAMPAIGN,IN_PROGRESS,HIGH,100,22000.00,350000,15000,800,200,4.55,0.57,"Facebook;Google",Multi,4,3,0.00,0,100
CONTENT_CREATION,TO_DO,MEDIUM,13,720.00,9500,360,24,6,3.79,0.63,Website,Content,3,2,0.00,0,13
EMAIL,IN_PROGRESS,MEDIUM,8,480.00,13000,560,32,8,4.31,0.62,Email,Email,3,2,0.00,0,8
PPC,IN_REVIEW,MEDIUM,22,4200.00,70000,3000,160,40,4.29,0.57,Display,Programmatic,4,2,0.00,0,22
ANALYTICS,TO_DO,HIGH,34,2100.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,34
DESIGN,TO_DO,LOW,5,130.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,5
SEO,IN_PROGRESS,MEDIUM,20,1100.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,20
SOCIAL_MEDIA,IN_REVIEW,HIGH,28,5000.00,90000,3600,200,50,4.00,0.56,"Facebook;Instagram",Social,4,3,0.00,0,28
CONTENT_CREATION,IN_PROGRESS,MEDIUM,19,980.00,13000,480,28,8,3.69,0.61,Website,Content,3,2,0.00,0,19
EMAIL,TO_DO,LOW,3,95.00,2800,110,6,2,4.00,0.64,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,44,14500.00,240000,11000,560,140,4.55,0.58,Google,SEM,5,3,0.00,1,44
ANALYTICS,IN_REVIEW,CRITICAL,68,4200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,68
DESIGN,IN_PROGRESS,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
